1. 性别	2. 年龄	3. 身高(cm)	4. 体重（kg)	5. 您所在的省份：	6. 儿时生活地区	小学入睡	小学起床	中学入睡	中学起床	大学入睡	大学起床	小学入睡	小学起床	中学入睡	中学起床	大学入睡	大学起床	第11题(无偏好)	第11题(淡)	第11题(咸)	第11题(辣)	第11题(甜)	12. 是否喜欢动物类食物	Y3. 是否经常食用水果	14. 主食类型	Y5. 是否经常喝牛奶—小学阶段	中学阶段	大学阶段
1	2	20	160	50	陕西	2	20	7	22	7	8	23	20	7	22	7	8	23	0	1	0	0	0	4	N	1	Y	N	N
2	2	20	163	45	河南	3	20	7	22	6	9	24	20	7	22	6	9	24	1	0	0	0	0	4	N	3	Y	Y	Y
3	2	20	175	60	北京	2	20	7	22	7	8	23	20	7	22	7	8	23	0	0	0	0	1	1	N	1	Y	Y	Y
4	2	20	165	60	北京	2	20	7	21	7	8	23	20	7	21	7	8	23	0	0	1	1	0	2	Y	1	Y	Y	Y
5	2	20	164	50	北京	2	20	7	24	7	9	24	20	7	24	7	9	24	0	1	0	0	0	4	Y	1	Y	Y	Y
6	2	20	165	64	山东	2	19	7	22	7	8	24	19	7	22	7	8	24	0	0	1	1	0	4	Y	2	Y	Y	N
7	2	20	175	65	安徽	2	19	7	23	6	8	24	19	7	23	6	8	24	0	0	1	1	1	2	N	3	Y	Y	N
8	1	20	175	70	山东	2	20	7	22	7	7	23	20	7	22	7	7	23	1	0	0	0	0	4	Y	1	N	Y	Y
9	1	20	172	62	山东	1	19	6	21	6	8	21	19	6	21	6	8	21	1	0	0	0	0	2	N	3	N	N	N
10	1	19	176	57	北京	2	20	7	23	6	8	24	20	7	23	6	8	24	1	0	0	0	0	2	Y	1	Y	Y	N
11	2	19	166	55	北京	2	20	7	22	7	9	23	20	7	22	7	9	23	0	0	1	1	0	4	N	1	N	Y	Y
12	2	20	161	48	浙江	2	19	6	21	6	7	23	19	6	21	6	7	23	0	0	1	1	0	3	Y	1	Y	N	N
13	1	20	175	60	山东	1	19	7	22	7	7	23	19	7	22	7	7	23	0	1	0	1	0	4	Y	2	Y	Y	Y
14	1	20	182	75	北京	3	22	7	23	6	8	23	22	7	23	6	8	23	0	0	0	1	0	2	Y	1	Y	Y	Y
